 Part 4.

  A specification of both the velocity and turbulence fields at a
distance 0.25 diameters upstream of the expansion for those who
wish to calculate the flow around the expansion corner.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The (FORTRAN) format
used to read the data should be: 5E13.3

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    0.000E+00    1.000E+00    0.000E+00    1.404E-03    3.400E-04
    1.000E-03    1.000E+00    0.000E+00    1.404E-03    3.400E-04
    2.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    3.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    4.000E-03    1.000E+00    0.000E+00    1.405E-03    3.401E-04
    5.000E-03    1.000E+00    0.000E+00    1.406E-03    3.401E-04
    6.000E-03    1.000E+00    0.000E+00    1.406E-03    3.400E-04
    7.000E-03    1.000E+00    0.000E+00    1.407E-03    3.400E-04
    8.000E-03    9.999E-01    0.000E+00    1.408E-03    3.400E-04
    9.000E-03    9.999E-01    0.000E+00    1.409E-03    3.400E-04
    1.000E-02    9.999E-01    0.000E+00    1.411E-03    3.401E-04
    1.100E-02    9.999E-01    0.000E+00    1.412E-03    3.400E-04
    1.200E-02    9.999E-01    0.000E+00    1.414E-03    3.400E-04
    1.300E-02    9.999E-01    0.000E+00    1.416E-03    3.401E-04
    1.400E-02    9.999E-01    0.000E+00    1.418E-03    3.400E-04
    1.500E-02    9.999E-01    0.000E+00    1.421E-03    3.401E-04
    1.600E-02    9.999E-01    0.000E+00    1.424E-03    3.402E-04
    1.700E-02    9.999E-01    0.000E+00    1.426E-03    3.401E-04
    1.800E-02    9.998E-01    0.000E+00    1.429E-03    3.401E-04
    1.900E-02    9.998E-01    0.000E+00    1.432E-03    3.401E-04
    2.000E-02    9.998E-01    0.000E+00    1.436E-03    3.402E-04
    2.100E-02    9.998E-01    0.000E+00    1.439E-03    3.401E-04
    2.200E-02    9.997E-01    0.000E+00    1.443E-03    3.402E-04
    2.300E-02    9.996E-01    0.000E+00    1.447E-03    3.402E-04
    2.400E-02    9.995E-01    0.000E+00    1.451E-03    3.402E-04
    2.500E-02    9.993E-01    0.000E+00    1.455E-03    3.402E-04
    2.600E-02    9.991E-01    0.000E+00    1.459E-03    3.401E-04
    2.700E-02    9.989E-01    0.000E+00    1.464E-03    3.402E-04
    2.800E-02    9.987E-01    0.000E+00    1.469E-03    3.402E-04
    2.900E-02    9.984E-01    0.000E+00    1.474E-03    3.402E-04
